更新时间: 2026-01-22 03:57:44（北京时间）

更新时间,#genre#
2026-01-22 03:57:44,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://180.125.178.205:8686/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://223.214.248.90:4022/rtp/238.1.78.166:7200$安徽电信
CCTV1,http://171.83.38.123:1234/rtp/239.254.96.96:8550$湖北电信
CCTV1,http://116.9.34.165:4000/rtp/239.81.0.102:4056$广西电信
CCTV1,http://123.181.147.244:7000/rtp/239.254.200.45:8008$河北省电信
CCTV1,http://121.230.174.1:8000/rtp/239.49.8.19:9614$江苏电信
CCTV2,http://180.125.178.205:8686/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://223.214.248.90:4022/rtp/238.1.78.235:7752$安徽电信
CCTV2,http://171.83.38.123:1234/rtp/239.69.1.102:10250$湖北电信
CCTV2,http://116.9.34.165:4000/rtp/239.81.0.115:4056$广西电信
CCTV2,http://123.181.147.244:7000/rtp/239.254.200.158:6000$河北省电信
CCTV2,http://121.230.174.1:8000/rtp/239.49.8.50:9802$江苏电信
CCTV3,http://180.125.178.205:8686/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://223.214.248.90:4022/rtp/238.1.78.170:7232$安徽电信
CCTV3,http://171.83.38.123:1234/rtp/239.69.1.122:10370$湖北电信
CCTV3,http://116.9.34.165:4000/rtp/239.81.0.231:4056$广西电信
CCTV3,http://123.181.147.244:7000/rtp/239.254.201.152:7205$河北省电信
CCTV3,http://121.230.174.1:8000/rtp/239.49.8.74:8000$江苏电信
CCTV4,http://180.125.178.205:8686/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://223.214.248.90:4022/rtp/238.1.78.236:7760$安徽电信
CCTV4,http://171.83.38.123:1234/rtp/239.69.1.138:10466$湖北电信
CCTV4,http://116.9.34.165:4000/rtp/239.81.0.96:4056$广西电信
CCTV4,http://123.181.147.244:7000/rtp/239.254.200.190:6307$河北省电信
CCTV4,http://121.230.174.1:8000/rtp/239.49.8.51:9806$江苏电信
CCTV4欧洲,http://171.83.38.123:1234/rtp/239.69.1.231:11028$湖北电信
CCTV4欧洲,http://123.181.147.244:7000/rtp/239.254.201.205:4220$河北省电信
CCTV4美洲,http://171.83.38.123:1234/rtp/239.69.1.232:11034$湖北电信
CCTV4美洲,http://123.181.147.244:7000/rtp/239.254.201.206:4220$河北省电信
CCTV5,http://180.125.178.205:8686/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://223.214.248.90:4022/rtp/238.1.78.171:7240$安徽电信
CCTV5,http://171.83.38.123:1234/rtp/239.69.1.123:10376$湖北电信
CCTV5,http://116.9.34.165:4000/rtp/239.81.0.232:4056$广西电信
CCTV5,http://123.181.147.244:7000/rtp/239.254.201.153:7206$河北省电信
CCTV5,http://121.230.174.1:8000/rtp/239.49.8.75:8000$江苏电信
CCTV5+,http://180.125.178.205:8686/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://223.214.248.90:4022/rtp/238.1.78.237:7768$安徽电信
CCTV5+,http://171.83.38.123:1234/rtp/239.254.96.234:9484$湖北电信
CCTV5+,http://116.9.34.165:4000/rtp/239.81.0.101:4056$广西电信
CCTV5+,http://123.181.147.244:7000/rtp/239.254.200.46:8004$河北省电信
CCTV5+,http://121.230.174.1:8000/rtp/239.49.8.18:9610$江苏电信
CCTV6,http://180.125.178.205:8686/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://223.214.248.90:4022/rtp/238.1.78.172:7248$安徽电信
CCTV6,http://171.83.38.123:1234/rtp/239.69.1.124:10382$湖北电信
CCTV6,http://116.9.34.165:4000/rtp/239.81.0.233:4056$广西电信
CCTV6,http://123.181.147.244:7000/rtp/239.254.201.154:7207$河北省电信
CCTV6,http://121.230.174.1:8000/rtp/239.49.8.76:8000$江苏电信
CCTV7,http://180.125.178.205:8686/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://223.214.248.90:4022/rtp/238.1.78.239:7784$安徽电信
CCTV7,http://171.83.38.123:1234/rtp/239.69.1.103:10256$湖北电信
CCTV7,http://116.9.34.165:4000/rtp/239.81.0.116:4056$广西电信
CCTV7,http://123.181.147.244:7000/rtp/239.254.200.159:6000$河北省电信
CCTV7,http://121.230.174.1:8000/rtp/239.49.0.126:8000$江苏电信
CCTV8,http://180.125.178.205:8686/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://223.214.248.90:4022/rtp/238.1.78.173:7256$安徽电信
CCTV8,http://171.83.38.123:1234/rtp/239.69.1.125:10388$湖北电信
CCTV8,http://116.9.34.165:4000/rtp/239.81.0.234:4056$广西电信
CCTV8,http://123.181.147.244:7000/rtp/239.254.201.155:7208$河北省电信
CCTV8,http://121.230.174.1:8000/rtp/239.49.8.77:8000$江苏电信
CCTV9,http://180.125.178.205:8686/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://223.214.248.90:4022/rtp/238.1.78.240:7792$安徽电信
CCTV9,http://171.83.38.123:1234/rtp/239.69.1.104:10262$湖北电信
CCTV9,http://116.9.34.165:4000/rtp/239.81.0.117:4056$广西电信
CCTV9,http://123.181.147.244:7000/rtp/239.254.200.59:8112$河北省电信
CCTV9,http://121.230.174.1:8000/rtp/239.49.8.53:9814$江苏电信
CCTV10,http://180.125.178.205:8686/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://223.214.248.90:4022/rtp/238.1.78.241:7800$安徽电信
CCTV10,http://171.83.38.123:1234/rtp/239.69.1.105:10268$湖北电信
CCTV10,http://116.9.34.165:4000/rtp/239.81.0.118:4056$广西电信
CCTV10,http://123.181.147.244:7000/rtp/239.254.200.160:6000$河北省电信
CCTV10,http://121.230.174.1:8000/rtp/239.49.8.54:9818$江苏电信
CCTV11,http://180.125.178.205:8686/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://223.214.248.90:4022/rtp/238.1.78.206:7502$安徽电信
CCTV11,http://171.83.38.123:1234/rtp/239.69.1.154:10560$湖北电信
CCTV11,http://116.9.34.165:4000/rtp/239.81.0.229:4056$广西电信
CCTV11,http://123.181.147.244:7000/rtp/239.254.201.123:8120$河北省电信
CCTV11,http://121.230.174.1:8000/rtp/239.49.0.127:8000$江苏电信
CCTV12,http://180.125.178.205:8686/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://223.214.248.90:4022/rtp/238.1.78.242:7808$安徽电信
CCTV12,http://171.83.38.123:1234/rtp/239.69.1.106:10274$湖北电信
CCTV12,http://116.9.34.165:4000/rtp/239.81.0.119:4056$广西电信
CCTV12,http://123.181.147.244:7000/rtp/239.254.200.161:6000$河北省电信
CCTV12,http://121.230.174.1:8000/rtp/239.49.8.55:9822$江苏电信
CCTV13,http://180.125.178.205:8686/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://223.214.248.90:4022/rtp/238.1.79.35:4392$安徽电信
CCTV13,http://171.83.38.123:1234/rtp/239.254.96.161:9040$湖北电信
CCTV13,http://116.9.34.165:4000/rtp/239.81.0.206:4056$广西电信
CCTV13,http://123.181.147.244:7000/rtp/239.254.200.9:8264$河北省电信
CCTV13,http://121.230.174.1:8000/rtp/239.49.8.109:8000$江苏电信
CCTV14,http://180.125.178.205:8686/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://223.214.248.90:4022/rtp/238.1.78.243:7816$安徽电信
CCTV14,http://171.83.38.123:1234/rtp/239.69.1.107:10280$湖北电信
CCTV14,http://116.9.34.165:4000/rtp/239.81.0.120:4056$广西电信
CCTV14,http://123.181.147.244:7000/rtp/239.254.200.162:6000$河北省电信
CCTV14,http://121.230.174.1:8000/rtp/239.49.8.56:9826$江苏电信
CCTV15,http://180.125.178.205:8686/rtp/239.49.0.128:8000$江苏电信
CCTV15,http://223.214.248.90:4022/rtp/238.1.78.222:7648$安徽电信
CCTV15,http://171.83.38.123:1234/rtp/239.69.1.155:10566$湖北电信
CCTV15,http://116.9.34.165:4000/rtp/239.81.0.230:4056$广西电信
CCTV15,http://123.181.147.244:7000/rtp/239.254.201.124:8136$河北省电信
CCTV15,http://121.230.174.1:8000/rtp/239.49.0.128:8000$江苏电信
CCTV16,http://180.125.178.205:8686/rtp/239.49.8.31:8000$江苏电信
CCTV16,http://171.83.38.123:1234/rtp/239.69.1.247:11124$湖北电信
CCTV16,http://116.9.34.165:4000/rtp/239.81.0.142:4056$广西电信
CCTV16,http://116.9.34.165:4000/rtp/239.81.0.144:4056$广西电信
CCTV16,http://121.230.174.1:8000/rtp/239.49.8.31:8000$江苏电信
CCTV17,http://180.125.178.205:8686/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://223.214.248.90:4022/rtp/238.1.78.178:7296$安徽电信
CCTV17,http://171.83.38.123:1234/rtp/239.69.1.152:10548$湖北电信
CCTV17,http://116.9.34.165:4000/rtp/239.81.0.228:4056$广西电信
CCTV17,http://123.181.147.244:7000/rtp/239.254.201.120:8144$河北省电信
CCTV17,http://121.230.174.1:8000/rtp/239.49.8.52:9810$江苏电信
CCTV4K,http://223.214.248.90:4022/rtp/238.1.78.137:6968$安徽电信
CCTV4K,http://171.83.38.123:1234/rtp/239.69.1.12:9712$湖北电信
CCTV4K,http://116.9.34.165:4000/rtp/239.81.0.196:4056$广西电信
兵器科技,http://180.125.178.205:8686/rtp/239.49.8.88:8000$江苏电信
兵器科技,http://223.214.248.90:4022/rtp/238.1.79.56:4584$安徽电信
